"","PercentImperv_300m","ImpervAreaKm2_300m","PercentNA_300m","WaterKm2_300m","IceSnowKm2_300m","DevOpenKm2_300m","DevLowKm2_300m","DevMedKm2_300m","DevHighKm2_300m","BarrenKm2_300m","DeciduousKm2_300m","EvergreenKm2_300m","MixedForKm2_300m","ShrubKm2_300m","GrassKm2_300m","PastureKm2_300m","CropsKm2_300m","WoodyWetKm2_300m","HerbWetKm2_300m","NLCD_NA_Per_300m","WaterPer_300m","IceSnowPer_300m","DevOpenPer_300m","DevLowPer_300m","DevMedPer_300m","DevHighPer_300m","BarrenPer_300m","DeciduousPer_300m","EvergreenPer_300m","MixedForPer_300m","ShrubPer_300m","GrassPer_300m","PasturePer_300m","CropsPer_300m","WoodyWetPer_300m","HerbWetPer_300m","CHLA"
"BarrenPer_300m",-0.023,0.05,0.001,0.059,0.033,0.025,0.03,0.037,0.022,0.447,0.004,0.115,0.017,0.166,0.081,0.052,-0.002,0.04,0.09,0,-0.052,0.033,-0.161,-0.016,0.001,-0.012,1,-0.172,0.105,-0.083,0.177,0.033,-0.069,-0.098,-0.051,0.004,-0.155
"DeciduousPer_300m",-0.013,0.074,-0.019,0.081,-0.027,0.178,0.084,0.064,0.074,-0.021,0.548,0.004,0.21,-0.221,-0.117,0.167,0.017,0.037,-0.041,-0.019,0.026,-0.027,0.237,0.048,-0.023,-0.036,-0.172,1,-0.028,0.357,-0.411,-0.307,0.238,-0.04,0.06,-0.196,-0.043
"EvergreenPer_300m",-0.168,0.024,-0.007,0.016,0.056,0.045,0.008,0.014,0.03,0.047,0.061,0.575,0.246,0.091,-0.161,0.004,-0.179,0.085,-0.062,-0.008,-0.195,0.056,-0.184,-0.15,-0.148,-0.103,0.105,-0.028,1,0.359,0.211,-0.323,-0.22,-0.425,0.058,-0.228,-0.392
"MixedForPer_300m",-0.12,0.064,-0.007,0.049,-0.005,0.112,0.069,0.046,0.052,0.002,0.207,0.196,0.519,-0.057,-0.151,0.05,-0.051,0.167,-0.026,-0.008,-0.012,-0.005,0.018,-0.069,-0.097,-0.057,-0.083,0.357,0.359,1,-0.086,-0.364,-0.122,-0.222,0.335,-0.138,-0.178
"ShrubPer_300m",-0.09,-0.001,0.064,-0.005,0.042,-0.034,-0.021,-0.023,-0.024,0.112,-0.151,0.158,0.014,0.651,0.016,-0.02,-0.111,0.032,0.022,0.065,-0.284,0.042,-0.25,-0.12,-0.108,-0.092,0.177,-0.411,0.211,-0.086,1,-0.028,-0.168,-0.252,-0.094,-0.057,-0.21
"GrassPer_300m",-0.132,-0.05,-0.038,0.037,-0.024,-0.021,-0.06,-0.059,-0.039,0.02,-0.104,-0.135,-0.148,-0.014,0.585,-0.013,0.043,-0.112,0.051,-0.038,0.071,-0.024,-0.12,-0.159,-0.137,-0.104,0.033,-0.307,-0.323,-0.364,-0.028,1,-0.051,0.096,-0.296,0.107,0.171
"PasturePer_300m",0.1,0.117,0.002,0.064,-0.024,0.146,0.128,0.091,0.097,0.019,0.161,-0.037,0.045,-0.052,-0.031,0.474,0.203,0.056,0.065,0.001,-0.01,-0.024,0.222,0.134,0.007,-0.035,-0.069,0.238,-0.22,-0.122,-0.168,-0.051,1,0.319,-0.083,0.045,0.202
"CropsPer_300m",0.046,0.021,-0.01,0.015,-0.021,0.048,0.034,0.025,0.048,-0.032,-0.046,-0.201,-0.075,-0.16,0.002,0.127,0.559,0.026,0.087,-0.011,0.15,-0.021,0.209,0.079,-0.017,-0.035,-0.098,-0.04,-0.425,-0.222,-0.252,0.096,0.319,1,0.027,0.243,0.381
"WoodyWetPer_300m",0.102,0.095,-0.009,0.044,-0.03,0.073,0.113,0.082,0.071,0.007,-0.011,0.041,0.168,-0.043,-0.125,0.026,0.07,0.477,0.152,-0.01,0.004,-0.03,0.089,0.146,0.081,0.062,-0.051,0.06,0.058,0.335,-0.094,-0.296,-0.083,0.027,1,0.203,0.066
"HerbWetPer_300m",0.051,0.06,-0.006,0.064,-0.024,0.021,0.069,0.059,0.03,0.017,-0.095,-0.12,-0.057,-0.033,0.072,0.029,0.18,0.145,0.482,-0.007,0.129,-0.024,-0.024,0.053,0.033,0.017,0.004,-0.196,-0.228,-0.138,-0.057,0.107,0.045,0.243,0.203,1,0.208
"CHLA",0.117,0.078,-0.033,0.058,-0.049,0.085,0.096,0.069,0.06,-0.063,-0.003,-0.148,-0.027,-0.113,0.058,0.096,0.231,0.104,0.096,-0.032,0.121,-0.049,0.172,0.124,0.097,0.095,-0.155,-0.043,-0.392,-0.178,-0.21,0.171,0.202,0.381,0.066,0.208,1
